"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 10:41:13 IST 2024","Thu Apr 18 10:41:21 IST 2024","7818","","logintoapplication test","","","","loginToApplication",""
"passed","Thu Apr 18 10:42:38 IST 2024","Thu Apr 18 10:42:49 IST 2024","10952","","register test","","","","loginToApplication",""
"broken","Thu Apr 18 10:42:49 IST 2024","Thu Apr 18 10:43:03 IST 2024","13433","","register test","","","","register admin test",""
"broken","Wed Apr 17 15:57:06 IST 2024","Wed Apr 17 15:57:22 IST 2024","15730","","complaint test","","","","loginas admin test",""
"broken","Wed Apr 17 15:57:22 IST 2024","Wed Apr 17 15:57:36 IST 2024","14226","","complaint test","","","","complaint test",""
"broken","Wed Apr 17 15:57:36 IST 2024","Wed Apr 17 15:57:37 IST 2024","1035","","complaint test","","","","validation test",""
"broken","Wed May 08 15:10:46 IST 2024","Wed May 08 15:11:02 IST 2024","16381","","register test","","","","register admin test",""
"passed","Wed May 08 15:10:33 IST 2024","Wed May 08 15:10:46 IST 2024","12377","","register test","","","","loginToApplication",""
